13:59:44,AIRCON turned ON
14:00:51,LIGHTS turned ON
14:00:51,AIRCON turned ON
14:01:40,LIGHTS turned OFF after 0:00:49.868518
14:01:40,AIRCON turned OFF after 0:00:49.867590
14:01:46,LIGHTS turned ON
14:01:46,AIRCON turned ON
14:02:33,LIGHTS turned OFF after 0:00:46.970271
14:02:33,AIRCON turned OFF after 0:00:46.970246
14:02:38,LIGHTS turned ON
14:02:38,AIRCON turned ON
14:02:39,LIGHTS turned OFF after 0:00:01.237342
14:02:39,AIRCON turned OFF after 0:00:01.237826
14:03:18,LIGHTS turned ON
14:03:18,AIRCON turned ON
14:04:08,LIGHTS turned OFF after 0:00:49.719171
14:04:08,AIRCON turned OFF after 0:00:49.719428
14:04:33,LIGHTS turned ON
14:04:33,AIRCON turned ON
14:04:55,LIGHTS turned OFF after 0:00:21.733544
14:04:55,AIRCON turned OFF after 0:00:21.733668
14:04:57,LIGHTS turned ON
14:04:57,AIRCON turned ON
14:05:16,LIGHTS turned OFF after 0:00:19.594652
14:05:16,AIRCON turned OFF after 0:00:19.595041
14:05:20,LIGHTS turned ON
14:05:20,AIRCON turned ON
14:06:52,LIGHTS turned OFF after 0:01:31.536314
14:06:52,AIRCON turned OFF after 0:01:31.536475
14:07:10,LIGHTS turned ON
14:07:10,AIRCON turned ON
14:37:56,LIGHTS turned ON
14:37:56,AIRCON turned ON
14:39:02,LIGHTS turned OFF after 0:01:06.180782
14:39:02,AIRCON turned OFF after 0:01:06.181995
14:39:06,LIGHTS turned ON
14:39:06,AIRCON turned ON
14:39:30,LIGHTS turned OFF after 0:00:24.459920
14:39:30,AIRCON turned OFF after 0:00:24.638917
14:40:18,LIGHTS turned ON
14:40:18,AIRCON turned ON
14:43:32,LIGHTS turned OFF after 0:03:13.672532
14:43:32,AIRCON turned OFF after 0:03:13.672551
14:43:33,LIGHTS turned ON
14:43:33,AIRCON turned ON
14:44:52,LIGHTS turned OFF after 0:01:19.807348
14:44:52,AIRCON turned OFF after 0:01:19.805533
14:45:19,LIGHTS turned ON
14:45:19,AIRCON turned ON
14:45:35,LIGHTS turned OFF after 0:00:15.066292
14:45:35,AIRCON turned OFF after 0:00:15.066294
14:45:39,LIGHTS turned ON
14:45:39,AIRCON turned ON
14:46:18,LIGHTS turned OFF after 0:00:39.212294
14:46:18,AIRCON turned OFF after 0:00:39.212124
14:48:08,LIGHTS turned ON
14:48:08,AIRCON turned ON
14:48:29,LIGHTS turned OFF after 0:00:20.939619
14:48:29,AIRCON turned OFF after 0:00:20.939888
14:50:57,LIGHTS turned ON
14:50:57,AIRCON turned ON
14:51:12,LIGHTS turned OFF after 0:00:15.080344
14:51:12,AIRCON turned OFF after 0:00:15.080326
14:51:51,LIGHTS turned ON
14:51:51,AIRCON turned ON
14:52:06,LIGHTS turned OFF after 0:00:15.008312
14:52:06,AIRCON turned OFF after 0:00:15.008310
14:52:11,LIGHTS turned ON
14:52:11,AIRCON turned ON
14:52:33,LIGHTS turned OFF after 0:00:22.584393
14:52:33,AIRCON turned OFF after 0:00:22.584421
14:52:48,LIGHTS turned ON
14:52:48,AIRCON turned ON
14:53:28,LIGHTS turned OFF after 0:00:39.651336
14:53:28,AIRCON turned OFF after 0:00:39.651528
14:53:56,LIGHTS turned ON
14:53:56,AIRCON turned ON
14:54:11,LIGHTS turned OFF after 0:00:15.074789
14:54:11,AIRCON turned OFF after 0:00:15.074813
14:54:36,LIGHTS turned ON
14:54:36,AIRCON turned ON
14:54:57,LIGHTS turned OFF after 0:00:21.027618
14:54:57,AIRCON turned OFF after 0:00:21.027767
14:55:10,LIGHTS turned ON
14:55:10,AIRCON turned ON
14:55:25,LIGHTS turned OFF after 0:00:15.120573
14:55:25,AIRCON turned OFF after 0:00:15.120541
14:55:26,LIGHTS turned ON
14:55:26,AIRCON turned ON
14:55:41,LIGHTS turned OFF after 0:00:15.005036
14:55:41,AIRCON turned OFF after 0:00:15.003191
14:56:12,LIGHTS turned ON
14:56:12,AIRCON turned ON
14:56:31,LIGHTS turned OFF after 0:00:19.560471
14:56:31,AIRCON turned OFF after 0:00:19.560627
14:58:15,LIGHTS turned ON
14:58:15,AIRCON turned ON
14:58:40,LIGHTS turned OFF after 0:00:25.680357
14:58:40,AIRCON turned OFF after 0:00:25.680430
14:58:52,LIGHTS turned ON
14:58:52,AIRCON turned ON
14:59:07,LIGHTS turned OFF after 0:00:15.029151
14:59:07,AIRCON turned OFF after 0:00:15.029089
14:59:11,LIGHTS turned ON
14:59:11,AIRCON turned ON
14:59:32,LIGHTS turned OFF after 0:00:20.973790
14:59:32,AIRCON turned OFF after 0:00:20.974090
15:00:03,LIGHTS turned ON
15:00:03,AIRCON turned ON
15:00:18,LIGHTS turned OFF after 0:00:15.132686
15:00:18,AIRCON turned OFF after 0:00:15.132959
15:00:43,LIGHTS turned ON
15:00:43,AIRCON turned ON
15:03:10,LIGHTS turned ON
15:03:10,AIRCON turned ON
15:04:51,LIGHTS turned OFF after 0:01:40.919695
15:04:51,AIRCON turned OFF after 0:01:40.923142
15:04:56,LIGHTS turned ON
15:04:56,AIRCON turned ON
15:05:32,LIGHTS turned OFF after 0:00:36.024540
15:05:32,AIRCON turned OFF after 0:00:36.024179
15:05:44,LIGHTS turned ON
15:05:44,AIRCON turned ON
15:05:46,LIGHTS turned OFF after 0:00:02.082892
15:05:46,AIRCON turned OFF after 0:00:02.083116
15:06:23,LIGHTS turned ON
15:06:23,AIRCON turned ON
15:11:36,LIGHTS turned OFF after 0:05:13.712452
15:11:36,AIRCON turned OFF after 0:05:13.712821
15:11:38,LIGHTS turned ON
15:11:38,AIRCON turned ON
15:22:53,LIGHTS turned ON
15:22:53,AIRCON turned ON
15:27:24,LIGHTS turned ON
15:27:24,AIRCON turned ON
15:27:59,LIGHTS turned OFF after 0:00:34.463214
15:27:59,AIRCON turned OFF after 0:00:34.463280
15:28:01,LIGHTS turned ON
15:28:01,AIRCON turned ON
15:31:03,LIGHTS turned OFF after 0:03:01.921741
15:31:03,AIRCON turned OFF after 0:03:01.921931
15:31:19,LIGHTS turned ON
15:31:19,AIRCON turned ON
15:31:42,LIGHTS turned OFF after 0:00:23.089355
15:31:42,AIRCON turned OFF after 0:00:23.089631
15:31:51,LIGHTS turned ON
15:31:51,AIRCON turned ON
15:45:40,LIGHTS turned ON
15:45:40,AIRCON turned ON
15:47:43,LIGHTS turned ON
15:47:43,AIRCON turned ON
15:48:28,LIGHTS turned ON
15:48:28,AIRCON turned ON
15:49:06,LIGHTS turned ON
15:49:06,AIRCON turned ON
15:50:30,LIGHTS turned ON
15:50:30,AIRCON turned ON
15:54:16,LIGHTS turned ON
15:54:16,AIRCON turned ON
15:55:28,LIGHTS turned ON
15:55:28,AIRCON turned ON
15:55:43,LIGHTS turned ON
15:55:43,AIRCON turned ON
15:57:33,LIGHTS turned ON
15:57:33,AIRCON turned ON
15:57:56,LIGHTS turned ON
15:57:56,AIRCON turned ON
15:59:01,LIGHTS turned ON
15:59:01,AIRCON turned ON
16:00:21,LIGHTS turned ON
16:00:21,AIRCON turned ON
16:00:55,LIGHTS turned ON
16:00:55,AIRCON turned ON
16:01:39,LIGHTS turned ON
16:01:39,AIRCON turned ON
16:03:16,LIGHTS turned OFF after 0:01:37.166191
16:03:16,AIRCON turned OFF after 0:01:37.166410
16:03:19,LIGHTS turned ON
16:03:19,AIRCON turned ON
16:04:20,LIGHTS turned ON
16:04:20,AIRCON turned ON
16:05:26,LIGHTS turned ON
16:05:26,AIRCON turned ON
16:06:28,LIGHTS turned ON
16:06:28,AIRCON turned ON
16:07:25,LIGHTS turned OFF after 0:00:56.369704
16:07:25,AIRCON turned OFF after 0:00:56.370693
16:08:10,LIGHTS turned ON
16:08:10,AIRCON turned ON
16:09:15,LIGHTS turned OFF after 0:01:04.879334
16:09:15,AIRCON turned OFF after 0:01:04.879907
16:09:20,LIGHTS turned ON
16:09:20,AIRCON turned ON
16:09:57,LIGHTS turned OFF after 0:00:36.719762
16:09:57,AIRCON turned OFF after 0:00:36.719899
16:10:43,LIGHTS turned ON
16:10:43,AIRCON turned ON
16:12:01,LIGHTS turned OFF after 0:01:18.296478
16:12:01,AIRCON turned OFF after 0:01:18.297048
16:16:53,LIGHTS turned ON
16:16:53,AIRCON turned ON
16:17:11,LIGHTS turned OFF after 0:00:18.161221
16:17:11,AIRCON turned OFF after 0:00:18.161296
16:17:18,LIGHTS turned ON
16:17:18,AIRCON turned ON
16:17:35,LIGHTS turned OFF after 0:00:16.950249
16:17:35,AIRCON turned OFF after 0:00:16.950402
16:19:26,LIGHTS turned ON
16:19:26,AIRCON turned ON
16:19:42,LIGHTS turned OFF after 0:00:16.006860
16:19:42,AIRCON turned OFF after 0:00:16.006828
16:21:22,LIGHTS turned ON
16:21:22,AIRCON turned ON
16:21:39,LIGHTS turned OFF after 0:00:17.621050
16:21:39,AIRCON turned OFF after 0:00:17.621615
16:22:30,LIGHTS turned ON
16:22:30,AIRCON turned ON
16:22:47,LIGHTS turned OFF after 0:00:17.550794
